Cash,Category,EmpID,Flavor,Product,Price,ProdID,Quantity,ReceiptNo,SaleDate,StoreID,Type,Weekend,City,State,Street,Zip
FALSE,Espresso,13,Single,Single Espresso,1.85,49,2,11,18-Jan-00,13,Drink,FALSE,Portland,OR,678 Burnside St,97209
FALSE,Tart,13,Chocolate,Chocolate Tart,3.75,17,5,11,18-Jan-00,13,Food,FALSE,Portland,OR,678 Burnside St,97209
FALSE,Soda,13,Cherry,Cherry Soda,1.29,48,4,11,18-Jan-00,13,Drink,FALSE,Portland,OR,678 Burnside St,97209
FALSE,Bear Claw,13,Almond,Almond Bear Claw,1.95,38,1,11,18-Jan-00,13,Food,FALSE,Portland,OR,678 Burnside St,97209
TRUE,Cake,9,Casino,Casino Cake,15.95,2,4,12,6-Jan-00,9,Food,FALSE,Monterey,CA,730 Park Ave,93943
TRUE,Cake,9,Opera,Opera Cake,15.95,3,2,12,6-Jan-00,9,Food,FALSE,Monterey,CA,730 Park Ave,93943
TRUE,Lemonade,9,Raspberry,Raspberry Lemonade,3.25,41,3,12,6-Jan-00,9,Drink,FALSE,Monterey,CA,730 Park Ave,93943
TRUE,Cookie,9,Ganache,Ganache Cookie,1.15,21,2,12,6-Jan-00,9,Food,FALSE,Monterey,CA,730 Park Ave,93943
TRUE,Pie,9,Apple,Apple Pie,5.25,11,5,12,6-Jan-00,9,Food,FALSE,Monterey,CA,730 Park Ave,93943
TRUE,Twist,9,Almond,Almond Twist,1.15,37,4,12,6-Jan-00,9,Food,FALSE,Monterey,CA,730 Park Ave,93943
TRUE,Espresso,9,Single,Single Espresso,1.85,49,2,12,6-Jan-00,9,Drink,FALSE,Monterey,CA,730 Park Ave,93943
FALSE,Tea,1,Green,Green Tea,1.85,43,4,13,1-May-00,1,Drink,FALSE,San Francisco,CA,150 Hayes St,94171
FALSE,Tart,1,Chocolate,Chocolate Tart,3.75,17,1,13,1-May-00,1,Food,FALSE,San Francisco,CA,150 Hayes St,94171
FALSE,Soda,1,Cherry,Cherry Soda,1.29,48,2,13,1-May-00,1,Drink,FALSE,San Francisco,CA,150 Hayes St,94171
FALSE,Cake,1,Opera,Opera Cake,15.95,3,1,13,1-May-00,1,Food,FALSE,San Francisco,CA,150 Hayes St,94171
TRUE,Danish,18,Apricot,Apricot Danish,1.15,35,4,14,9-Jan-00,18,Food,FALSE,Phoenix,AZ,2400 Camelback Rd,85016
TRUE,Tart,18,Chocolate,Chocolate Tart,3.75,17,4,14,9-Jan-00,18,Food,FALSE,Phoenix,AZ,2400 Camelback Rd,85016
TRUE,Tea,18,Green,Green Tea,1.85,43,4,14,9-Jan-00,18,Drink,FALSE,Phoenix,AZ,2400 Camelback Rd,85016
TRUE,Coffee,18,Hot,Hot Coffee,2.15,45,5,14,9-Jan-00,18,Drink,FALSE,Phoenix,AZ,2400 Camelback Rd,85016
TRUE,Tea,18,Green,Green Tea,1.85,43,5,15,27-Jan-00,18,Drink,FALSE,Phoenix,AZ,2400 Camelback Rd,85016
TRUE,Tart,18,Blackberry,Blackberry Tart,3.25,15,5,15,27-Jan-00,18,Food,FALSE,Phoenix,AZ,2400 Camelback Rd,85016
TRUE,Twist,18,Almond,Almond Twist,1.15,37,3,15,27-Jan-00,18,Food,FALSE,Phoenix,AZ,2400 Camelback Rd,85016
FALSE,Cake,25,Chocolate,Chocolate Cake,8.95,0,3,16,16-Jan-00,2,Food,FALSE,San Luis Obispo,CA,1430 Chorro St,93405
FALSE,Coffee,25,Chocolate,Chocolate Coffee,2.45,46,1,16,16-Jan-00,2,Drink,FALSE,San Luis Obispo,CA,1430 Chorro St,93405
FALSE,Cake,25,Casino,Casino Cake,15.95,2,4,16,16-Jan-00,2,Food,FALSE,San Luis Obispo,CA,1430 Chorro St,93405
FALSE,Tart,25,Pecan,Pecan Tart,3.75,20,1,16,16-Jan-00,2,Food,FALSE,San Luis Obispo,CA,1430 Chorro St,93405
FALSE,Soda,25,Cherry,Cherry Soda,1.29,48,5,16,16-Jan-00,2,Drink,FALSE,San Luis Obispo,CA,1430 Chorro St,93405
TRUE,Tart,8,Chocolate,Chocolate Tart,3.75,17,2,17,5-Jan-00,8,Food,FALSE,Santa Barbara,CA,1337 Anacapa St,93108
TRUE,Frappuccino,8,Vanilla,Vanilla Frappuccino,3.85,47,5,17,5-Jan-00,8,Drink,FALSE,Santa Barbara,CA,1337 Anacapa St,93108
FALSE,Tart,8,Berry,Berry Tart,3.25,14,1,18,5-Jan-00,8,Food,FALSE,Santa Barbara,CA,1337 Anacapa St,93108
FALSE,Tart,28,Blueberry,Blueberry Tart,3.25,16,5,19,9-Jan-00,4,Food,FALSE,Los Angeles,CA,800 Olympic Blvd,90001
FALSE,Danish,28,Blueberry,Blueberry Danish,1.15,39,1,19,9-Jan-00,4,Food,FALSE,Los Angeles,CA,800 Olympic Blvd,90001
FALSE,Juice,9,Orange,Orange Juice,2.75,42,5,20,27-Jan-00,9,Drink,FALSE,Monterey,CA,730 Park Ave,93943
FALSE,Tart,9,Apricot,Apricot Tart,3.25,13,4,20,27-Jan-00,9,Food,FALSE,Monterey,CA,730 Park Ave,93943
FALSE,Eclair,11,Coffee,Coffee Eclair,3.5,7,1,21,12-Jan-00,11,Food,FALSE,Sacramento,CA,1420 15th st,94211
FALSE,Pie,11,Apple,Apple Pie,5.25,11,2,21,12-Jan-00,11,Food,FALSE,Sacramento,CA,1420 15th st,94211
FALSE,Twist,11,Almond,Almond Twist,1.15,37,5,21,12-Jan-00,11,Food,FALSE,Sacramento,CA,1420 15th st,94211
FALSE,Coffee,11,Hot,Hot Coffee,2.15,45,2,21,12-Jan-00,11,Drink,FALSE,Sacramento,CA,1420 15th st,94211
TRUE,Eclair,13,Coffee,Coffee Eclair,3.5,7,3,22,27-Jan-00,13,Food,FALSE,Portland,OR,678 Burnside St,97209
TRUE,Tart,13,Blackberry,Blackberry Tart,3.25,15,5,22,27-Jan-00,13,Food,FALSE,Portland,OR,678 Burnside St,97209
TRUE,Espresso,13,Single,Single Espresso,1.85,49,1,22,27-Jan-00,13,Drink,FALSE,Portland,OR,678 Burnside St,97209
FALSE,Cookie,4,Raspberry,Raspberry Cookie,1.09,23,4,23,25-Jan-00,4,Food,FALSE,Los Angeles,CA,800 Olympic Blvd,90001
FALSE,Cookie,4,Lemon,Lemon Cookie,0.79,24,1,23,25-Jan-00,4,Food,FALSE,Los Angeles,CA,800 Olympic Blvd,90001
FALSE,Lemonade,4,Lemon,Lemon Lemonade,3.25,40,1,23,25-Jan-00,4,Drink,FALSE,Los Angeles,CA,800 Olympic Blvd,90001
FALSE,Lemonade,4,Raspberry,Raspberry Lemonade,3.25,41,5,23,25-Jan-00,4,Drink,FALSE,Los Angeles,CA,800 Olympic Blvd,90001
FALSE,Tea,4,Green,Green Tea,1.85,43,3,23,25-Jan-00,4,Drink,FALSE,Los Angeles,CA,800 Olympic Blvd,90001
FALSE,Cookie,7,Tuile,Tuile Cookie,1.25,28,4,24,25-Jan-00,7,Food,FALSE,San Jose,CA,200 Keyes St,95106
FALSE,Frappuccino,7,Vanilla,Vanilla Frappuccino,3.85,47,2,24,25-Jan-00,7,Drink,FALSE,San Jose,CA,200 Keyes St,95106
FALSE,Tart,7,Blackberry,Blackberry Tart,3.25,15,5,24,25-Jan-00,7,Food,FALSE,San Jose,CA,200 Keyes St,95106
FALSE,Cake,7,Napoleon,Napoleon Cake,13.49,9,1,24,25-Jan-00,7,Food,FALSE,San Jose,CA,200 Keyes St,95106
TRUE,Croissant,19,Cheese,Cheese Croissant,1.75,33,2,25,9-Jan-00,19,Food,FALSE,Flagstaff,AZ,700 University Ave,86001
TRUE,Croissant,19,Apricot,Apricot Croissant,1.45,32,2,25,9-Jan-00,19,Food,FALSE,Flagstaff,AZ,700 University Ave,86001
TRUE,Twist,19,Almond,Almond Twist,1.15,37,2,25,9-Jan-00,19,Food,FALSE,Flagstaff,AZ,700 University Ave,86001
FALSE,Tart,36,Lemon,Lemon Tart,3.25,19,4,26,12-Jan-00,10,Food,FALSE,Bakersfield,CA,1850 Truxtun Ave,93308
FALSE,Eclair,36,Vanilla,Vanilla Eclair,3.25,8,4,26,12-Jan-00,10,Food,FALSE,Bakersfield,CA,1850 Truxtun Ave,93308
FALSE,Meringue,36,Chocolate,Chocolate Meringue,1.25,25,4,26,12-Jan-00,10,Food,FALSE,Bakersfield,CA,1850 Truxtun Ave,93308
FALSE,Danish,36,Blueberry,Blueberry Danish,1.15,39,2,26,12-Jan-00,10,Food,FALSE,Bakersfield,CA,1850 Truxtun Ave,93308
FALSE,Tart,36,Pecan,Pecan Tart,3.75,20,1,26,12-Jan-00,10,Food,FALSE,Bakersfield,CA,1850 Truxtun Ave,93308
FALSE,Tart,36,Blueberry,Blueberry Tart,3.25,16,5,26,12-Jan-00,10,Food,FALSE,Bakersfield,CA,1850 Truxtun Ave,93308
FALSE,Coffee,36,Hot,Hot Coffee,2.15,45,2,26,12-Jan-00,10,Drink,FALSE,Bakersfield,CA,1850 Truxtun Ave,93308
FALSE,Cake,36,Truffle,Truffle Cake,15.95,5,5,26,12-Jan-00,10,Food,FALSE,Bakersfield,CA,1850 Truxtun Ave,93308
TRUE,Croissant,9,Apricot,Apricot Croissant,1.45,32,4,27,3-Jan-00,9,Food,FALSE,Monterey,CA,730 Park Ave,93943
TRUE,Cookie,9,Lemon,Lemon Cookie,0.79,24,5,27,3-Jan-00,9,Food,FALSE,Monterey,CA,730 Park Ave,93943
TRUE,Tart,9,Apricot,Apricot Tart,3.25,13,3,27,3-Jan-00,9,Food,FALSE,Monterey,CA,730 Park Ave,93943
TRUE,Croissant,9,Cheese,Cheese Croissant,1.75,33,5,27,3-Jan-00,9,Food,FALSE,Monterey,CA,730 Park Ave,93943
TRUE,Cookie,9,Gongolais,Gongolais Cookie,1.15,22,1,27,3-Jan-00,9,Food,FALSE,Monterey,CA,730 Park Ave,93943
FALSE,Tart,18,Berry,Berry Tart,3.25,14,4,28,21-Jan-00,18,Food,TRUE,Phoenix,AZ,2400 Camelback Rd,85016
FALSE,Water,18,Bottled,Bottled Water,1.8,44,1,28,21-Jan-00,18,Drink,TRUE,Phoenix,AZ,2400 Camelback Rd,85016
TRUE,Tart,16,Apricot,Apricot Tart,3.25,13,3,29,3-Jan-00,16,Food,FALSE,Reno,NV,446 Center St,89507
TRUE,Water,16,Bottled,Bottled Water,1.8,44,1,29,3-Jan-00,16,Drink,FALSE,Reno,NV,446 Center St,89507
TRUE,Espresso,16,Single,Single Espresso,1.85,49,4,29,3-Jan-00,16,Drink,FALSE,Reno,NV,446 Center St,89507
TRUE,Tart,16,Pecan,Pecan Tart,3.75,20,5,29,3-Jan-00,16,Food,FALSE,Reno,NV,446 Center St,89507
TRUE,Eclair,16,Chocolate,Chocolate Eclair,3.25,6,4,29,3-Jan-00,16,Food,FALSE,Reno,NV,446 Center St,89507
TRUE,Lemonade,16,Lemon,Lemon Lemonade,3.25,40,5,29,3-Jan-00,16,Drink,FALSE,Reno,NV,446 Center St,89507
TRUE,Danish,16,Blueberry,Blueberry Danish,1.15,39,1,29,3-Jan-00,16,Food,FALSE,Reno,NV,446 Center St,89507
FALSE,Coffee,13,Chocolate,Chocolate Coffee,2.45,46,1,30,21-Jan-00,13,Drink,TRUE,Portland,OR,678 Burnside St,97209
FALSE,Tart,13,Apricot,Apricot Tart,3.25,13,5,30,21-Jan-00,13,Food,TRUE,Portland,OR,678 Burnside St,97209
FALSE,Cookie,13,Tuile,Tuile Cookie,1.25,28,3,31,1-Jan-00,13,Food,TRUE,Portland,OR,678 Burnside St,97209
FALSE,Cookie,13,Marzipan,Marzipan Cookie,1.25,27,1,31,1-Jan-00,13,Food,TRUE,Portland,OR,678 Burnside St,97209
FALSE,Eclair,13,Vanilla,Vanilla Eclair,3.25,8,3,31,1-Jan-00,13,Food,TRUE,Portland,OR,678 Burnside St,97209
TRUE,Cake,8,Lemon,Lemon Cake,8.95,1,5,32,26-Jan-00,8,Food,FALSE,Santa Barbara,CA,1337 Anacapa St,93108
TRUE,Tart,8,Lemon,Lemon Tart,3.25,19,1,32,26-Jan-00,8,Food,FALSE,Santa Barbara,CA,1337 Anacapa St,93108
FALSE,Danish,20,Apple,Apple Danish,1.15,36,1,33,11-Jan-00,20,Food,FALSE,Tucson,AZ,1900 Speedway Blvd,85701
FALSE,Eclair,20,Chocolate,Chocolate Eclair,3.25,6,1,33,11-Jan-00,20,Food,FALSE,Tucson,AZ,1900 Speedway Blvd,85701
FALSE,Eclair,32,Coffee,Coffee Eclair,3.5,7,2,34,15-Jan-00,6,Food,TRUE,San Diego,CA,1507 Front St,92110
FALSE,Tart,32,Blackberry,Blackberry Tart,3.25,15,3,34,15-Jan-00,6,Food,TRUE,San Diego,CA,1507 Front St,92110
FALSE,Espresso,32,Single,Single Espresso,1.85,49,1,34,15-Jan-00,6,Drink,TRUE,San Diego,CA,1507 Front St,92110
TRUE,Tart,17,Apple,Apple Tart,3.25,12,3,35,5-Jan-00,17,Food,FALSE,Las Vegas,NV,4122 Rainbow Blvd,89101
TRUE,Croissant,17,Apple,Apple Croissant,1.45,31,2,35,5-Jan-00,17,Food,FALSE,Las Vegas,NV,4122 Rainbow Blvd,89101
TRUE,Danish,17,Apple,Apple Danish,1.15,36,4,35,5-Jan-00,17,Food,FALSE,Las Vegas,NV,4122 Rainbow Blvd,89101
TRUE,Soda,17,Cherry,Cherry Soda,1.29,48,4,35,5-Jan-00,17,Drink,FALSE,Las Vegas,NV,4122 Rainbow Blvd,89101
FALSE,Tart,28,Chocolate,Chocolate Tart,3.75,17,5,36,3-Jan-00,4,Food,FALSE,Los Angeles,CA,800 Olympic Blvd,90001
FALSE,Frappuccino,28,Vanilla,Vanilla Frappuccino,3.85,47,3,36,3-Jan-00,4,Drink,FALSE,Los Angeles,CA,800 Olympic Blvd,90001
FALSE,Cookie,28,Walnut,Walnut Cookie,0.79,29,5,36,3-Jan-00,4,Food,FALSE,Los Angeles,CA,800 Olympic Blvd,90001
TRUE,Cake,14,Truffle,Truffle Cake,15.95,5,3,37,16-Jan-00,14,Food,FALSE,Seattle,WA,550 Thomas St,98111
TRUE,Tart,14,Almond,Almond Tart,3.75,10,3,37,16-Jan-00,14,Food,FALSE,Seattle,WA,550 Thomas St,98111
TRUE,Croissant,14,Chocolate,Chocolate Croissant,1.75,34,5,37,16-Jan-00,14,Food,FALSE,Seattle,WA,550 Thomas St,98111
TRUE,Soda,14,Cherry,Cherry Soda,1.29,48,4,37,16-Jan-00,14,Drink,FALSE,Seattle,WA,550 Thomas St,98111
TRUE,Twist,14,Almond,Almond Twist,1.15,37,1,37,16-Jan-00,14,Food,FALSE,Seattle,WA,550 Thomas St,98111
TRUE,Cookie,14,Ganache,Ganache Cookie,1.15,21,5,37,16-Jan-00,14,Food,FALSE,Seattle,WA,550 Thomas St,98111
FALSE,Cake,47,Lemon,Lemon Cake,8.95,1,4,38,29-Jan-00,17,Food,TRUE,Las Vegas,NV,4122 Rainbow Blvd,89101
FALSE,Tart,47,Lemon,Lemon Tart,3.25,19,5,38,29-Jan-00,17,Food,TRUE,Las Vegas,NV,4122 Rainbow Blvd,89101
FALSE,Cake,1,Strawberry,Strawberry Cake,11.95,4,3,39,1-Feb-00,1,Food,FALSE,San Francisco,CA,150 Hayes St,94171
FALSE,Cake,1,Napoleon,Napoleon Cake,13.49,9,4,39,1-Feb-00,1,Food,FALSE,San Francisco,CA,150 Hayes St,94171
TRUE,Eclair,3,Coffee,Coffee Eclair,3.5,7,4,40,11-Jan-00,3,Food,FALSE,Los Angeles,CA,400 Lincoln Ave,90081
TRUE,Tart,3,Blackberry,Blackberry Tart,3.25,15,2,40,11-Jan-00,3,Food,FALSE,Los Angeles,CA,400 Lincoln Ave,90081
TRUE,Espresso,3,Single,Single Espresso,1.85,49,1,40,11-Jan-00,3,Drink,FALSE,Los Angeles,CA,400 Lincoln Ave,90081
TRUE,Lemonade,3,Lemon,Lemon Lemonade,3.25,40,4,40,11-Jan-00,3,Drink,FALSE,Los Angeles,CA,400 Lincoln Ave,90081
FALSE,Tart,1,Cherry,Cherry Tart,3.25,18,4,41,2-Nov-00,1,Food,FALSE,San Francisco,CA,150 Hayes St,94171
FALSE,Danish,1,Apricot,Apricot Danish,1.15,35,3,41,2-Nov-00,1,Food,FALSE,San Francisco,CA,150 Hayes St,94171
FALSE,Tart,1,Lemon,Lemon Tart,3.25,19,4,41,2-Nov-00,1,Food,FALSE,San Francisco,CA,150 Hayes St,94171
FALSE,Cookie,1,Ganache,Ganache Cookie,1.15,21,5,41,2-Nov-00,1,Food,FALSE,San Francisco,CA,150 Hayes St,94171
TRUE,Tart,18,Lemon,Lemon Tart,3.25,19,1,42,11-Jan-00,18,Food,FALSE,Phoenix,AZ,2400 Camelback Rd,85016
TRUE,Tart,18,Chocolate,Chocolate Tart,3.75,17,4,42,11-Jan-00,18,Food,FALSE,Phoenix,AZ,2400 Camelback Rd,85016
TRUE,Cake,18,Opera,Opera Cake,15.95,3,5,42,11-Jan-00,18,Food,FALSE,Phoenix,AZ,2400 Camelback Rd,85016
FALSE,Cookie,11,Marzipan,Marzipan Cookie,1.25,27,3,43,7-Jan-00,11,Food,TRUE,Sacramento,CA,1420 15th st,94211
FALSE,Tart,11,Berry,Berry Tart,3.25,14,3,43,7-Jan-00,11,Food,TRUE,Sacramento,CA,1420 15th st,94211
FALSE,Tart,11,Apricot,Apricot Tart,3.25,13,5,43,7-Jan-00,11,Food,TRUE,Sacramento,CA,1420 15th st,94211
FALSE,Tart,31,Berry,Berry Tart,3.25,14,1,44,15-Jan-00,6,Food,TRUE,San Diego,CA,1507 Front St,92110
FALSE,Tart,31,Lemon,Lemon Tart,3.25,19,2,44,15-Jan-00,6,Food,TRUE,San Diego,CA,1507 Front St,92110
TRUE,Cake,15,Chocolate,Chocolate Cake,8.95,0,4,45,25-Jan-00,15,Food,FALSE,Olympia,WA,312 State Ave,98512
TRUE,Coffee,15,Chocolate,Chocolate Coffee,2.45,46,5,45,25-Jan-00,15,Drink,FALSE,Olympia,WA,312 State Ave,98512
TRUE,Cake,15,Casino,Casino Cake,15.95,2,3,45,25-Jan-00,15,Food,FALSE,Olympia,WA,312 State Ave,98512
TRUE,Eclair,15,Chocolate,Chocolate Eclair,3.25,6,1,45,25-Jan-00,15,Food,FALSE,Olympia,WA,312 State Ave,98512
FALSE,Tart,14,Berry,Berry Tart,3.25,14,4,46,21-Jan-00,14,Food,TRUE,Seattle,WA,550 Thomas St,98111
FALSE,Water,14,Bottled,Bottled Water,1.8,44,2,46,21-Jan-00,14,Drink,TRUE,Seattle,WA,550 Thomas St,98111
FALSE,Danish,14,Blueberry,Blueberry Danish,1.15,39,4,46,21-Jan-00,14,Food,TRUE,Seattle,WA,550 Thomas St,98111
FALSE,Croissant,14,Almond,Almond Croissant,1.45,30,2,46,21-Jan-00,14,Food,TRUE,Seattle,WA,550 Thomas St,98111
FALSE,Cake,16,Chocolate,Chocolate Cake,8.95,0,5,47,9-Jan-00,16,Food,FALSE,Reno,NV,446 Center St,89507
FALSE,Coffee,16,Chocolate,Chocolate Coffee,2.45,46,3,47,9-Jan-00,16,Drink,FALSE,Reno,NV,446 Center St,89507
FALSE,Meringue,16,Vanilla,Vanilla Meringue,1.15,26,2,47,9-Jan-00,16,Food,FALSE,Reno,NV,446 Center St,89507
TRUE,Cake,9,Chocolate,Chocolate Cake,8.95,0,2,48,27-Jan-00,9,Food,FALSE,Monterey,CA,730 Park Ave,93943
TRUE,Coffee,9,Chocolate,Chocolate Coffee,2.45,46,3,48,27-Jan-00,9,Drink,FALSE,Monterey,CA,730 Park Ave,93943
TRUE,Cake,9,Casino,Casino Cake,15.95,2,5,48,27-Jan-00,9,Food,FALSE,Monterey,CA,730 Park Ave,93943
FALSE,Tart,29,Apple,Apple Tart,3.25,12,2,49,2-Jan-00,6,Food,FALSE,San Diego,CA,1507 Front St,92110
FALSE,Croissant,29,Apple,Apple Croissant,1.45,31,1,49,2-Jan-00,6,Food,FALSE,San Diego,CA,1507 Front St,92110
FALSE,Danish,29,Apple,Apple Danish,1.15,36,3,49,2-Jan-00,6,Food,FALSE,San Diego,CA,1507 Front St,92110
FALSE,Soda,29,Cherry,Cherry Soda,1.29,48,4,49,2-Jan-00,6,Drink,FALSE,San Diego,CA,1507 Front St,92110
FALSE,Cake,29,Opera,Opera Cake,15.95,3,5,49,2-Jan-00,6,Food,FALSE,San Diego,CA,1507 Front St,92110
FALSE,Cookie,29,Lemon,Lemon Cookie,0.79,24,4,49,2-Jan-00,6,Food,FALSE,San Diego,CA,1507 Front St,92110
FALSE,Danish,29,Blueberry,Blueberry Danish,1.15,39,1,49,2-Jan-00,6,Food,FALSE,San Diego,CA,1507 Front St,92110
FALSE,Cake,29,Lemon,Lemon Cake,8.95,1,1,49,2-Jan-00,6,Food,FALSE,San Diego,CA,1507 Front St,92110
FALSE,Croissant,21,Cheese,Cheese Croissant,1.75,33,3,50,21-Mar-00,1,Food,FALSE,San Francisco,CA,150 Hayes St,94171
TRUE,Cookie,13,Tuile,Tuile Cookie,1.25,28,3,51,3-Jan-00,13,Food,FALSE,Portland,OR,678 Burnside St,97209
TRUE,Juice,13,Orange,Orange Juice,2.75,42,3,51,3-Jan-00,13,Drink,FALSE,Portland,OR,678 Burnside St,97209
TRUE,Cake,36,Chocolate,Chocolate Cake,8.95,0,3,52,23-Jan-00,10,Food,FALSE,Bakersfield,CA,1850 Truxtun Ave,93308
TRUE,Coffee,36,Chocolate,Chocolate Coffee,2.45,46,4,52,23-Jan-00,10,Drink,FALSE,Bakersfield,CA,1850 Truxtun Ave,93308
TRUE,Cake,36,Casino,Casino Cake,15.95,2,3,52,23-Jan-00,10,Food,FALSE,Bakersfield,CA,1850 Truxtun Ave,93308
FALSE,Cake,14,Strawberry,Strawberry Cake,11.95,4,2,53,14-Jan-00,14,Food,TRUE,Seattle,WA,550 Thomas St,98111
FALSE,Cake,14,Napoleon,Napoleon Cake,13.49,9,4,53,14-Jan-00,14,Food,TRUE,Seattle,WA,550 Thomas St,98111
TRUE,Tart,17,Cherry,Cherry Tart,3.25,18,3,54,23-Jan-00,17,Food,FALSE,Las Vegas,NV,4122 Rainbow Blvd,89101
TRUE,Danish,17,Apricot,Apricot Danish,1.15,35,1,54,23-Jan-00,17,Food,FALSE,Las Vegas,NV,4122 Rainbow Blvd,89101
TRUE,Cake,17,Opera,Opera Cake,15.95,3,4,54,23-Jan-00,17,Food,FALSE,Las Vegas,NV,4122 Rainbow Blvd,89101
TRUE,Cookie,15,Raspberry,Raspberry Cookie,1.09,23,2,55,11-Jan-00,15,Food,FALSE,Olympia,WA,312 State Ave,98512
